WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Adora1	0	0	0	4	2	0
Prim2	263	360	167	929	967	816
Cflar	97	115	67	535	364	584
Obsl1	5	3	3	12	3	4
Pld5	0	1	0	0	0	5
Syt14	1	1	0	0	2	1
Lactb2	56	144	49	275	328	372
Efhc1	0	1	1	3	2	0
Lonrf2	0	0	0	0	0	1
Actr1b	329	291	260	716	1026	844
Pgap1	62	233	79	356	422	698
Plcl1	2	6	4	9	1	33
Pard3b	4	2	1	17	13	3
Bmpr2	6	8	4	12	8	54
Abca12	0	0	0	2	0	0
Xrcc5	211	412	166	825	953	976
Usp37	163	388	138	629	733	714
Dock10	169	689	268	2004	2309	2266
Dis3l2	117	128	109	373	416	488
Sh3bp4	3	1	0	50	1	1
Pask	243	240	191	609	601	745
Dpp10	0	0	0	3	0	0
Clasp1	330	430	248	1432	1252	1509
Mapkapk2	759	774	683	1976	2877	2436
Cdk18	1	0	0	10	0	6
Rab3gap1	250	371	202	1053	1101	1103
Rnpep	479	438	351	1193	1565	1506
Camsap2	73	108	61	397	333	431
Aspm	205	516	205	1830	1246	1427
Kcnt2	0	1	0	4	0	1
Pla2g4a	9	39	20	8	12	108
Cdc73	120	305	131	729	657	881
Stx6	193	209	171	541	860	687
1700025G04Rik	0	7	6	13	4	27
Rasal2	2	10	3	55	27	76
Rcsd1	1283	1464	1083	2822	4325	3830
Rabgap1l	324	1384	436	1944	2726	2338
Rgs7	0	0	0	1	0	0
Fcrla	1424	1685	1255	4677	5552	4934
Itpkb	390	372	298	861	860	1061
Smyd3	74	78	52	288	263	237
Akt3	54	99	31	303	347	316
Trp53bp2	59	67	39	344	241	203
Ptpn14	9	2	1	36	16	16
Esrrg	0	0	0	0	1	0
Rps6kc1	23	40	27	104	78	176
Tgfb2	0	1	0	3	2	1
A330023F24Rik	0	3	0	5	3	3
Rgs20	0	0	0	2	2	0
Atp6v1h	318	645	219	1105	1340	1491
Adhfe1	68	134	59	62	178	165
Arfgef1	315	640	252	2231	1721	2265
Sgk3	107	420	142	463	924	831
Mybl1	435	1539	508	3533	2717	3575
Cspp1	85	185	83	409	301	339
2610203C22Rik	1	3	0	0	4	3
Tcf24	1	0	0	5	0	2
Prex2	0	0	0	0	0	1
Sulf1	0	2	1	2	0	17
Ncoa2	300	325	197	1271	1095	1602
Slco5a1	0	1	0	2	0	6
Eya1	30	37	9	109	121	169
Stau2	217	432	195	604	884	1038
Eloc	222	657	332	1153	1332	1032
Rdh10	69	31	19	73	62	78
Sbspon	0	0	0	0	0	1
Gm16070	1	0	0	0	0	0
Jph1	1	0	0	5	0	0
Pkhd1	0	0	0	0	1	0
Kcnq5	54	117	40	291	310	341
Smap1	139	188	122	586	598	573
Col19a1	0	1	1	0	1	15
Dst	27	53	32	67	42	255
Ptpn18	574	1008	781	1234	2723	1557
Plekhb2	318	508	371	855	1411	1401
Fam178b	0	0	1	0	0	0
Uggt1	540	715	412	2535	2008	2370
Lman2l	72	89	70	149	170	209
Inpp4a	97	121	58	372	161	272
Mgat4a	71	101	51	495	395	561
2010300C02Rik	2	0	0	1	0	0
4930594C11Rik	0	3	0	1	2	4
Tmem131	1559	2223	1125	6204	6242	10437
Mitd1	64	178	68	333	408	279
Eif5b	436	1096	442	3000	2149	2076
