"","ctrlVNOIP1","ctrlVNOIP2","ctrlVNOIP3","pupexpVNOIP1","pupexpVNOIP2","pupexpVNOIP3"
"ENSMUSG00000000001",202,181,187,652,771,677
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",88,51,14,49,166,84
"ENSMUSG00000000031",36,24,6,38,32,39
"ENSMUSG00000000037",39,17,6,1,37,17
"ENSMUSG00000000049",2,5,2,3,11,3
"ENSMUSG00000000056",254,205,44,628,847,477
"ENSMUSG00000000058",231,186,173,169,778,853
"ENSMUSG00000000078",6623,2173,483,2647,5029,2677
"ENSMUSG00000000085",348,263,185,419,725,411
"ENSMUSG00000000088",715,1280,1495,1714,834,2354
"ENSMUSG00000000093",19,15,4,37,32,56
"ENSMUSG00000000094",0,0,0,0,0,4
"ENSMUSG00000000103",0,1,0,0,0,0
"ENSMUSG00000000120",12,0,0,0,131,37
"ENSMUSG00000000125",0,1,0,2,0,0
"ENSMUSG00000000126",0,1,0,2,15,13
"ENSMUSG00000000127",121,157,88,191,279,246
"ENSMUSG00000000131",299,198,64,308,806,220
"ENSMUSG00000000134",39,132,73,346,391,213
"ENSMUSG00000000142",64,68,11,22,35,79
"ENSMUSG00000000148",80,43,9,152,210,112
"ENSMUSG00000000149",181,122,55,403,470,356
"ENSMUSG00000000154",309,268,130,168,455,345
"ENSMUSG00000000157",0,0,2,0,13,2
"ENSMUSG00000000159",345,301,120,379,354,427
"ENSMUSG00000000167",327,251,203,444,423,439
"ENSMUSG00000000168",199,198,152,375,858,542
"ENSMUSG00000000171",523,647,847,1004,1644,2253
"ENSMUSG00000000182",0,1,0,0,4,3
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",4578,2573,1918,4948,9429,3490
"ENSMUSG00000000194",457,264,144,550,982,763
"ENSMUSG00000000197",0,34,1,6,122,56
"ENSMUSG00000000202",1,0,0,3,9,5
"ENSMUSG00000000204",7,5,11,163,20,45
"ENSMUSG00000000214",1,6,0,0,0,1
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,1
"ENSMUSG00000000223",7,20,16,14,83,40
"ENSMUSG00000000244",0,9,0,0,1,2
"ENSMUSG00000000247",322,508,222,889,1005,653
"ENSMUSG00000000248",25,65,34,42,82,59
"ENSMUSG00000000253",645,893,479,687,705,800
"ENSMUSG00000000263",0,0,0,0,0,1
"ENSMUSG00000000266",11,53,76,164,325,190
"ENSMUSG00000000275",59,103,40,410,348,210
"ENSMUSG00000000276",52,102,31,128,364,143
"ENSMUSG00000000278",814,572,198,643,1018,817
"ENSMUSG00000000282",116,118,33,536,359,91
"ENSMUSG00000000290",6,21,10,0,64,18
"ENSMUSG00000000295",718,526,630,1599,507,680
"ENSMUSG00000000296",820,365,533,1001,365,732
"ENSMUSG00000000301",84,28,16,156,24,47
"ENSMUSG00000000303",477,568,312,1292,3785,1716
"ENSMUSG00000000305",78,68,25,2,394,103
"ENSMUSG00000000308",3423,2244,748,1334,3078,1706
"ENSMUSG00000000317",11,7,0,0,34,13
"ENSMUSG00000000318",40,103,50,37,48,80
"ENSMUSG00000000320",184,106,33,4,218,146
"ENSMUSG00000000325",68,104,36,244,281,170
"ENSMUSG00000000326",697,612,229,756,674,882
"ENSMUSG00000000339",177,565,227,384,383,617
"ENSMUSG00000000340",388,172,151,680,580,476
"ENSMUSG00000000346",6808,3440,1826,1855,7392,6281
"ENSMUSG00000000355",276,402,405,1058,581,686
"ENSMUSG00000000359",55,18,7,80,16,25
"ENSMUSG00000000365",24,5,8,0,16,6
"ENSMUSG00000000374",7,57,30,88,309,117
"ENSMUSG00000000378",87,412,147,324,471,780
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",185,147,34,25,293,195
"ENSMUSG00000000385",417,308,214,692,1263,852
"ENSMUSG00000000386",10,17,7,95,63,24
"ENSMUSG00000000392",30,11,18,19,38,43
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",2368,974,591,890,1400,1405
"ENSMUSG00000000402",56,89,55,184,143,110
"ENSMUSG00000000409",30,9,5,0,33,19
"ENSMUSG00000000411",0,0,0,2,0,0
"ENSMUSG00000000416",60,66,73,231,362,174
"ENSMUSG00000000420",376,313,272,1147,1016,802
"ENSMUSG00000000435",0,1,0,0,0,0
"ENSMUSG00000000439",470,256,102,122,386,416
"ENSMUSG00000000440",0,0,0,18,0,0
"ENSMUSG00000000441",223,230,132,506,919,870
"ENSMUSG00000000486",48,39,11,31,41,34
"ENSMUSG00000000489",0,8,3,0,32,14
"ENSMUSG00000000530",41,48,19,51,95,126
"ENSMUSG00000000531",8,1,3,2,4,4
"ENSMUSG00000000532",9,57,53,76,310,103
"ENSMUSG00000000538",294,209,158,335,1520,706
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",1,17,8,2,33,17
"ENSMUSG00000000555",47,54,18,24,175,66
"ENSMUSG00000000560",0,0,0,0,0,0
"ENSMUSG00000000561",401,218,73,268,719,500
"ENSMUSG00000000562",0,0,0,0,0,5
"ENSMUSG00000000563",2489,2105,1844,4033,3129,3324
"ENSMUSG00000000567",956,791,704,1225,2287,1625
"ENSMUSG00000000568",356,252,148,1281,637,448
"ENSMUSG00000000579",387,165,86,805,154,136
"ENSMUSG00000000581",1527,802,1015,1819,1328,1606
"ENSMUSG00000000594",1506,871,384,1346,2273,1900
"ENSMUSG00000000600",204,132,61,500,819,322
"ENSMUSG00000000605",1460,802,462,1751,3033,1488
"ENSMUSG00000000606",842,625,388,8238,12549,14150
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",40,40,26,21,74,41
"ENSMUSG00000000628",150,179,177,320,1465,557
"ENSMUSG00000000631",732,477,256,1349,2957,1031
"ENSMUSG00000000632",0,0,4,0,0,0
"ENSMUSG00000000673",0,3,0,29,7,10
"ENSMUSG00000000682",117,86,138,211,68,145
"ENSMUSG00000000686",2,10,3,23,7,3
"ENSMUSG00000000690",0,0,0,0,0,0
"ENSMUSG00000000693",17,26,6,123,19,32
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",8,16,1,0,9,26
"ENSMUSG00000000708",487,521,365,1391,1999,913
"ENSMUSG00000000711",345,397,156,544,2438,1193
"ENSMUSG00000000724",0,0,0,1,2,0
"ENSMUSG00000000730",0,0,0,0,0,0
"ENSMUSG00000000731",30,0,0,0,11,6
"ENSMUSG00000000732",16,7,1,26,30,23
"ENSMUSG00000000738",97,193,72,428,399,216
"ENSMUSG00000000739",7,26,3,0,8,26
"ENSMUSG00000000740",134,97,185,510,291,384
"ENSMUSG00000000743",1772,1181,414,351,2298,2112
"ENSMUSG00000000751",458,198,69,223,736,357
"ENSMUSG00000000753",358,446,276,609,439,603
"ENSMUSG00000000759",180,103,116,369,557,373
"ENSMUSG00000000766",0,0,0,0,2,0
"ENSMUSG00000000776",23,138,115,83,224,279
"ENSMUSG00000000782",3,35,29,18,20,43
"ENSMUSG00000000787",890,883,558,2100,3574,1720
"ENSMUSG00000000791",8,31,8,0,14,7
"ENSMUSG00000000792",98,5,2,0,0,8
"ENSMUSG00000000794",332,735,100,13,63,152
"ENSMUSG00000000804",172,152,107,258,664,206
"ENSMUSG00000000805",0,0,0,1,3,7
"ENSMUSG00000000811",80,62,25,126,172,72
"ENSMUSG00000000817",0,0,0,0,0,0
"ENSMUSG00000000823",185,93,74,289,756,331
"ENSMUSG00000000826",549,756,445,1818,3424,2524
